| 참고문헌 | 상태 | HTTP | GitHub 미러 | URL |
|---|---|---|---|---|
| ref-001 | 정책 차단 | - | - | https://www.ascm.org/corporate-solutions/standards-tools/scor-ds/ |
| ref-002 | 정책 차단 | - | - | https://www.isa.org/news-press-releases/2025/april/update-to-isa-95-standard-addresses-integration-of |
| ref-003 | 정책 차단 | - | 열림(공식 산출물) | https://ref.gs1.org/epcis/ |
| ref-004 | 정책 차단 | - | 열림(원문) | https://osrf.github.io/ros2multirobotbook/rmf-core.html |
| ref-005 | 정책 차단 | - | - | https://arxiv.org/abs/2005.07371 |
| ref-006 | 정책 차단 | - | - | https://arxiv.org/abs/1705.10868 |
| ref-007 | 정책 차단 | - | - | https://www.nist.gov/programs-projects/performance-collaborative-robot-systems |
| ref-008 | 정책 차단 | - | 열림(원문) | https://pages.nist.gov/ARIAC_docs/en/latest/ |
| ref-009 | 정책 차단 | - | 열림(원문) | https://design.ros2.org/articles/ros2_dds_security.html |
| ref-010 | 정책 차단 | - | 열림(원문) | https://design.ros2.org/articles/ros2_threat_model.html |
| ref-011 | 정책 차단 | - | - | https://www.iso.org/standard/85557.html |
| ref-012 | 정책 차단 | - | - | https://www.iso.org/standard/85558.html |
| ref-013 | 정책 차단 | - | - | https://openepcis.io/docs/epcis/ |
| ref-014 | 정책 차단 | - | 열림(공식 산출물) | https://ref.gs1.org/standards/cbv/ |
| ref-015 | 정책 차단 | - | - | https://www.gs1.org/docs/epc/EPCIS_Guideline.pdf |
| ref-016 | 정책 차단 | - | - | https://www.gs1.org/standards/id-keys/sscc |
| ref-017 | 정책 차단 | 403 | - | http://www.gs1kr.org/front/service/File/SSCC%20%EB%B0%9C%EA%B0%84%20%EC%9E%90%EB%A3%8C.pdf |
| ref-018 | 정책 차단 | - | - | https://www.gs1.org/docs/tl/GS1_Logistic_Label_Guideline.pdf |
| ref-019 | 정책 차단 | - | - | https://www.gs1.org/standards/id-keys/grai |
| ref-020 | 정책 차단 | - | - | https://support.gs1.org/support/solutions/articles/43000734294-which-gs1-identification-key-should-be-used-for-individual-assets-used-to-transport-goods- |
| ref-021 | 정책 차단 | - | - | https://www.gs1.org/sites/default/files/docs/epc/GS1_EPC_TDS_i1_11.pdf |
